CreditScore,Geography,Age,Balance,NumOfProducts,IsActiveMember,Exited
619,France,42,0.0,1,1,Yes
608,Spain,41,83807.86,1,1,No
502,France,42,159660.8,3,0,Yes
699,France,39,0.0,2,0,No
850,Spain,43,125510.82,1,1,No
645,Spain,44,113755.78,2,0,Yes
822,France,50,0.0,2,1,No
376,Germany,29,115046.74,4,0,Yes
501,France,44,142051.07,2,1,No
684,France,27,134603.88,1,1,No
528,France,31,102016.72,2,0,No
497,Spain,24,0.0,2,0,No
476,France,34,0.0,2,0,No
549,France,25,0.0,2,0,No
635,Spain,35,0.0,2,1,No
616,Germany,45,143129.41,2,1,No
653,Germany,58,132602.88,1,0,Yes
549,Spain,24,0.0,2,1,No
587,Spain,45,0.0,1,0,No
726,France,24,0.0,2,1,No
732,France,41,0.0,2,1,No
636,Spain,32,0.0,2,0,No
510,Spain,38,0.0,1,0,Yes
669,France,46,0.0,2,1,No
846,France,38,0.0,1,1,No
577,France,25,0.0,2,1,No
756,Germany,36,136815.64,1,1,No
571,France,44,0.0,2,0,No
574,Germany,43,141349.43,1,1,No
411,France,29,59697.17,2,1,No
591,Spain,39,0.0,3,0,Yes
533,France,36,85311.7,1,1,No
553,Germany,41,110112.54,2,0,No
520,Spain,42,0.0,2,1,No
722,Spain,29,0.0,2,1,No
475,France,45,134264.04,1,0,Yes
490,Spain,31,145260.23,1,1,No
804,Spain,33,76548.6,1,1,No
850,France,36,0.0,1,1,No
582,Germany,41,70349.48,2,1,No
472,Spain,40,0.0,1,0,No
465,France,51,122522.32,1,0,Yes
556,France,61,117419.35,1,1,No
834,France,49,131394.56,1,0,Yes
660,Spain,61,155931.11,1,1,No
776,Germany,32,109421.13,2,1,No
829,Germany,27,112045.67,1,1,Yes
637,Germany,39,137843.8,1,1,Yes
550,Germany,38,103391.38,1,1,No
776,Germany,37,103769.22,2,0,No
698,Germany,44,116363.37,2,0,No
585,Germany,36,146050.97,2,0,No
788,France,33,0.0,2,0,No
655,Germany,41,125561.97,1,0,Yes
601,Germany,42,98495.72,1,0,Yes
619,France,43,125211.92,1,1,No
656,France,45,127864.4,1,0,No
725,Germany,19,75888.2,1,0,No
511,Spain,66,0.0,1,0,Yes
614,France,51,40685.92,1,1,No
742,Germany,35,136857.0,1,0,No
687,Germany,27,152328.88,2,0,No
555,Spain,33,56084.69,2,0,No
684,Spain,56,78707.16,1,1,No
603,Germany,26,109166.37,1,1,No
751,Germany,36,169831.46,2,1,No
581,Germany,34,101633.04,1,0,No
735,Germany,43,123180.01,2,1,No
661,Germany,35,150725.53,2,1,No
675,France,21,98373.26,1,0,No
738,Germany,58,133745.44,4,0,Yes
813,France,29,0.0,1,0,No
657,Spain,37,163607.18,1,1,No
604,Germany,25,157780.84,2,1,No
519,France,36,0.0,2,1,No
735,France,21,178718.19,2,0,No
664,France,55,0.0,2,1,No
678,France,32,0.0,1,1,No
757,Spain,33,77253.22,1,1,No
416,Germany,41,122189.66,2,0,No
665,France,34,96645.54,2,0,No
777,France,32,0.0,1,0,Yes
543,France,36,0.0,2,0,No
506,France,34,90307.62,1,1,No
493,France,46,0.0,2,0,No
652,Spain,75,0.0,2,1,No
750,Spain,22,121681.82,1,0,Yes
729,France,30,0.0,2,0,No
646,France,46,0.0,3,0,Yes
635,Germany,28,81623.67,2,1,No
647,Spain,44,0.0,3,1,Yes
808,France,45,118626.55,2,0,No
524,France,36,0.0,2,0,No
769,France,29,0.0,2,1,No
730,Spain,42,0.0,2,1,No
515,Spain,35,176273.95,1,1,No
773,Spain,41,102827.44,1,1,No
814,Germany,29,97086.4,2,1,No
710,Spain,22,0.0,2,0,No
413,France,34,0.0,2,0,No
665,France,40,0.0,1,1,No
623,France,44,0.0,2,0,No
738,France,31,82674.15,1,0,No
528,Spain,36,0.0,2,0,No
670,Spain,65,0.0,1,1,Yes
622,Spain,46,107073.27,2,1,Yes
582,Germany,32,88938.62,1,1,No
785,Germany,36,99806.85,1,1,No
605,Spain,33,150092.8,1,0,No
479,Germany,35,92833.89,1,0,Yes
685,Germany,30,90536.81,1,1,No
538,Germany,39,108055.1,2,0,No
562,France,42,100238.35,1,0,No
675,Spain,36,106190.55,1,1,No
721,Germany,28,154475.54,2,1,Yes
628,Germany,30,132351.29,2,1,No
668,Germany,37,167864.4,1,0,No
506,France,41,0.0,2,0,No
524,Germany,31,107818.63,1,0,Yes
699,Germany,34,185173.81,2,0,No
828,France,34,129433.34,2,0,No
674,Spain,39,120193.42,1,0,No
656,France,39,0.0,2,0,No
684,Germany,48,126384.42,1,1,No
625,France,28,0.0,1,0,No
432,France,42,152603.45,1,0,Yes
549,France,52,0.0,1,1,Yes
625,Germany,56,148507.24,1,0,Yes
828,France,41,0.0,2,0,No
770,France,24,101827.07,1,0,No
758,France,34,0.0,2,1,No
795,Germany,33,130862.43,1,1,No
687,France,38,122570.87,1,1,No
686,France,25,0.0,2,1,No
789,Germany,39,124828.46,2,1,No
589,Germany,50,144895.05,2,1,No
461,Germany,34,63663.93,1,1,No
637,France,40,133463.1,1,1,No
584,Spain,48,213146.2,1,0,Yes
579,Spain,35,129490.36,2,1,Yes
756,Germany,44,137452.09,1,0,No
663,France,34,0.0,2,1,No
682,France,43,125851.93,1,1,No
793,Spain,52,0.0,1,0,Yes
691,France,31,40915.55,1,0,Yes
485,Spain,21,113157.22,1,1,No
635,Spain,29,138296.94,2,0,No
650,France,37,106967.18,1,0,No
735,France,44,120681.63,1,0,No
416,France,32,0.0,2,1,No
754,Spain,32,0.0,2,0,No
535,France,48,0.0,1,0,Yes
716,Spain,42,0.0,2,0,No
539,France,37,127609.59,1,0,No
614,France,43,0.0,2,1,No
706,Spain,57,0.0,1,0,Yes
758,France,33,0.0,2,0,No
586,Spain,28,0.0,2,1,No
646,France,73,97259.25,1,1,No
631,Germany,33,123246.7,1,0,No
717,Spain,22,101060.25,1,1,No
684,France,30,0.0,2,0,No
800,France,49,108007.36,1,0,No
721,Spain,36,0.0,2,1,No
683,Spain,29,133702.89,1,0,Yes
660,Germany,31,125189.75,2,1,No
704,Germany,24,113034.22,1,0,Yes
615,Spain,41,109013.23,1,0,No
667,Spain,39,0.0,2,0,Yes
682,Germany,24,57929.81,2,0,No
484,France,29,130114.39,1,0,No
628,Germany,27,95826.49,2,0,No
480,Germany,44,129608.57,1,0,Yes
578,France,30,169462.09,1,0,No
512,France,40,0.0,2,1,No
484,Spain,35,133868.21,1,1,No
510,France,30,0.0,2,1,No
606,Germany,36,190479.48,2,0,No
597,Spain,40,101993.12,1,1,No
754,Germany,55,161608.81,1,0,Yes
850,Spain,45,122311.21,1,1,No
510,France,65,0.0,2,1,No
778,Germany,45,162150.42,2,0,No
636,France,42,0.0,2,1,No
