Evaporation,Sunshine,WindGustSpeed,Humidity3pm,Pressure,Cloud3pm,Temp3pm,RainToday,RainTomorrow
7.6,7.7,46.0,50.0,1019.3499999999999,7.0,22.2,No,No
4.6,4.1,,58.0,1022.9000000000001,7.0,18.8,No,No
1.4,0.1,39.0,67.0,1027.35,8.0,11.7,Yes,No
6.2,12.3,37.0,60.0,1015.1,3.0,20.8,No,No
,,,70.0,,,22.7,No,No
3.2,9.2,50.0,37.0,1020.45,,24.1,No,No
7.2,11.4,37.0,29.0,1013.75,2.0,33.6,No,No
,,39.0,57.0,1026.3000000000002,,22.2,No,No
1.4,8.8,26.0,62.0,1028.7,2.0,13.4,No,No
4.0,7.1,43.0,43.0,1026.95,1.0,13.6,No,No
,,39.0,70.0,1011.75,,22.0,No,No
,,69.0,33.0,,,12.8,No,No
2.6,4.0,44.0,51.0,1017.0999999999999,6.0,19.0,Yes,No
8.2,12.0,43.0,41.0,1017.9,1.0,22.1,No,No
9.4,11.1,52.0,17.0,1014.8499999999999,5.0,33.6,No,No
,,46.0,76.0,1012.5,,29.0,No,No
4.4,0.0,30.0,70.0,1015.15,8.0,23.7,Yes,No
,,24.0,54.0,1027.3,,14.5,No,No
8.0,,46.0,,1014.6,,,No,No
1.2,,43.0,74.0,1017.55,,12.1,Yes,No
5.6,6.0,24.0,10.0,1017.1500000000001,3.0,28.0,No,No
2.8,9.5,19.0,44.0,1022.5,2.0,20.0,No,No
5.6,11.4,50.0,41.0,1016.75,2.0,15.1,Yes,No
8.0,2.0,33.0,24.0,1006.55,8.0,30.1,No,No
,,28.0,60.0,1020.25,,24.1,No,No
2.8,3.9,17.0,34.0,1019.95,5.0,19.4,No,No
0.8,7.4,50.0,41.0,1014.65,3.0,11.7,Yes,No
6.0,4.7,61.0,78.0,1013.35,,14.6,Yes,No
,,44.0,67.0,1007.8,7.0,20.1,No,No
,,43.0,23.0,,,31.5,No,No
,,24.0,63.0,1025.1,,24.8,No,No
8.8,10.9,46.0,53.0,1010.05,8.0,31.4,No,No
5.6,11.0,39.0,23.0,1015.9000000000001,,28.7,Yes,No
16.0,1.0,44.0,57.0,1014.5,8.0,25.8,No,No
2.2,3.7,41.0,41.0,1020.8499999999999,6.0,18.6,No,No
,,17.0,43.0,,,18.0,No,No
,,,,,,,No,No
0.6,2.9,17.0,70.0,1011.05,7.0,17.1,No,No
,,9.0,79.0,,8.0,12.6,No,No
2.0,,37.0,61.0,1025.7,4.0,19.7,No,No
,,28.0,64.0,,,16.4,No,No
,,39.0,84.0,,,17.7,No,No
,,35.0,24.0,1013.5,,26.6,No,No
,,48.0,78.0,1012.75,,23.1,Yes,No
2.0,6.3,61.0,78.0,1025.65,5.0,16.3,No,No
,,20.0,59.0,1019.1500000000001,,17.0,No,No
4.2,10.2,37.0,24.0,1026.3,3.0,16.8,No,No
,,43.0,16.0,1015.05,,34.3,No,No
5.4,5.9,37.0,57.0,1018.1,3.0,20.3,No,No
,,33.0,71.0,,,12.3,No,No
,,26.0,62.0,1036.1,8.0,10.3,No,No
8.0,8.7,44.0,44.0,1015.15,3.0,23.3,No,No
1.2,4.5,41.0,76.0,1015.95,6.0,11.9,No,No
4.0,5.4,46.0,39.0,1013.95,2.0,13.6,No,No
,,22.0,42.0,1014.0999999999999,,30.3,No,No
,11.5,43.0,22.0,1009.15,1.0,33.8,No,No
2.8,9.5,30.0,22.0,1016.45,0.0,26.4,No,No
3.4,6.4,24.0,45.0,1025.5500000000002,5.0,15.9,No,No
,,30.0,42.0,1017.45,,25.2,No,No
,,52.0,46.0,1029.2,,11.8,No,No
4.4,10.2,35.0,54.0,1018.0,1.0,23.0,No,No
,,35.0,54.0,1011.65,,22.3,No,No
2.0,,35.0,88.0,1031.8,7.0,12.6,No,No
1.0,9.1,20.0,50.0,1020.55,1.0,12.9,No,No
4.8,11.2,72.0,39.0,1009.25,7.0,31.7,No,No
,,56.0,16.0,,,34.5,No,No
3.4,,19.0,26.0,1018.55,1.0,20.7,No,No
2.2,6.8,35.0,47.0,1019.7,6.0,16.8,No,No
,,52.0,16.0,,,31.4,No,No
5.2,4.2,74.0,45.0,1011.45,5.0,12.8,No,No
,,,,,,,No,No
7.2,4.8,52.0,50.0,1008.3,7.0,19.9,No,No
6.0,10.4,,24.0,1006.6500000000001,1.0,17.2,No,No
,,28.0,46.0,1025.85,,22.0,No,No
1.6,0.0,35.0,78.0,1009.8,8.0,17.0,Yes,No
,,15.0,66.0,1017.95,8.0,19.5,No,No
9.0,9.1,59.0,33.0,1011.7,5.0,31.7,No,No
1.0,9.1,24.0,74.0,1028.3000000000002,,12.6,No,No
3.0,6.7,41.0,44.0,1019.5,5.0,21.5,No,No
2.8,9.6,30.0,35.0,1015.05,6.0,19.9,No,No
5.0,8.4,,70.0,1016.35,4.0,22.0,No,No
2.6,6.6,48.0,41.0,1010.0999999999999,6.0,19.1,No,No
,,20.0,27.0,1024.0,,26.0,No,No
,,44.0,79.0,1019.15,,24.1,No,No
2.2,7.4,24.0,62.0,1023.35,3.0,18.1,No,No
,,33.0,46.0,1021.85,,26.0,No,No
6.2,8.8,37.0,59.0,1006.45,6.0,30.1,Yes,No
33.8,,41.0,64.0,1012.25,6.0,28.8,Yes,No
,,24.0,66.0,1018.85,,14.7,Yes,No
3.4,6.6,31.0,53.0,1020.9000000000001,7.0,21.9,Yes,No
,,22.0,41.0,1033.7,,17.9,No,No
3.0,8.6,26.0,30.0,1028.1,3.0,19.1,No,No
1.8,0.2,26.0,57.0,1026.0500000000002,7.0,13.1,No,No
,8.6,28.0,47.0,1023.6,2.0,19.5,No,No
,,46.0,52.0,1013.8,,23.1,No,No
3.2,8.4,35.0,25.0,1016.45,6.0,22.2,No,No
7.0,,43.0,26.0,1012.5,7.0,36.0,No,No
,,30.0,64.0,1017.5,,22.6,No,No
,,41.0,72.0,,,3.7,Yes,No
3.2,9.5,44.0,32.0,1014.75,1.0,16.0,No,No
3.8,10.9,46.0,41.0,1010.6,3.0,32.4,No,No
5.0,11.4,28.0,6.0,1020.45,0.0,28.6,No,No
,,28.0,54.0,1017.35,,22.8,No,No
5.2,,24.0,67.0,1011.85,,25.1,No,No
,,39.0,11.0,1015.45,,34.5,No,No
,,43.0,39.0,1005.45,,26.8,No,No
11.6,7.6,44.0,53.0,1013.6,7.0,28.6,No,No
3.2,10.8,31.0,29.0,1018.8,1.0,22.3,No,No
3.0,6.8,48.0,55.0,1015.0,,20.3,No,No
